# wowapi performance budgets — acceptance criterion #17.
#
# Format: BenchmarkName  max_ns_per_op  max_allocs_per_op
#   - max_ns_per_op:     maximum nanoseconds per operation (integer)
#   - max_allocs_per_op: maximum heap allocations per operation (-1 = unchecked)
#
# Budgets are set at ~10x the measured values on Apple M3 Max (2026-07-04) to
# remain green across architectures (Linux x86_64, slower CI runners) and under
# benchmark noise, while still catching 5-10x performance regressions.
#
# Measured baseline (Apple M3 Max, Go 1.26, darwin/arm64):
#   BenchmarkEvaluateDenyByDefault           29 ns/op   0 allocs/op
#   BenchmarkEvaluateRBACTenantAllow         50 ns/op   1 allocs/op
#   BenchmarkEvaluateABACDenyPolicy         724 ns/op  22 allocs/op
#   BenchmarkCovers                          51 ns/op   1 allocs/op
#   BenchmarkPolicyMatchesEq                175 ns/op   4 allocs/op
#   BenchmarkPolicyMatchesIn                391 ns/op  11 allocs/op
#   BenchmarkPolicyMatchesGte               134 ns/op   3 allocs/op
#   BenchmarkPolicyMatchesMultiCondition    539 ns/op  13 allocs/op
#   BenchmarkRouterHandle                   539 ns/op  12 allocs/op
#   BenchmarkRouterRoutes                   452 ns/op   4 allocs/op
#   BenchmarkRouteMetaValidate              131 ns/op   4 allocs/op
#   BenchmarkConfigFieldReadMaxBodyBytes    0.3 ns/op   0 allocs/op
#   BenchmarkConfigFieldReadQueryTimeout    0.3 ns/op   0 allocs/op
#   BenchmarkConfigDefaults                 0.3 ns/op   0 allocs/op
#   BenchmarkConfigValidate                 5.8 ns/op   0 allocs/op
#   BenchmarkFilteringParseAndSQL           254 ns/op   8 allocs/op
#   BenchmarkFilteringParseMulti            893 ns/op  24 allocs/op
#   BenchmarkFilteringSQLOnly               173 ns/op   5 allocs/op
#   BenchmarkSortParseAndSQL                160 ns/op   5 allocs/op
#   BenchmarkKeysetClause                   403 ns/op  13 allocs/op
#   BenchmarkCursorEncode                   586 ns/op  14 allocs/op
#   BenchmarkCursorDecode                   967 ns/op  18 allocs/op
#   BenchmarkCursorDecodeEmpty              1.1 ns/op   0 allocs/op
#   BenchmarkCursorRoundTrip               1586 ns/op  32 allocs/op
#   BenchmarkCachingStoreHit                136 ns/op   4 allocs/op
#   BenchmarkCachingStoreMiss               208 ns/op   5 allocs/op
#   BenchmarkTokenBucketAllow                26 ns/op   0 allocs/op
#   BenchmarkEdgeMiddlewareChain           2908 ns/op  28 allocs/op
#
# Full-chain dispatch gate (backlog B5 / competitive-benchmark §Routing).
# Measured Apple M3 Max, 2026-07-10, default -benchtime sample counts (~2M reps
# for the sub-microsecond dispatch benches, ~700K-900K for the gate/decode
# benches) — no DB; fakeAuth/fakeEval/fakeTxM (fakes_test.go) front the real
# ServeMux -> SecureHandler -> gateRoute chain, same doubles the gate unit
# tests already use:
#   BenchmarkDispatch/50routes              577 ns/op  14 allocs/op
#   BenchmarkDispatch/500routes             604 ns/op  14 allocs/op
#   BenchmarkDispatch/2000routes            666 ns/op  14 allocs/op
#   BenchmarkDispatchParallel/50routes      450 ns/op  14 allocs/op
#   BenchmarkDispatchParallel/500routes     440 ns/op  14 allocs/op
#   BenchmarkDispatchParallel/2000routes    470 ns/op  14 allocs/op
#   BenchmarkAuthzGateCachedHit            1603 ns/op  28 allocs/op
#   BenchmarkAuthzGateUncachedMiss         1601 ns/op  24 allocs/op
#   BenchmarkDecodeJSONTypical             1549 ns/op  21 allocs/op
#   BenchmarkDecodeJSONOversizedRejected    393 ns/op   9 allocs/op
#   BenchmarkBindAndValidateTypical        1666 ns/op  22 allocs/op
#
# DB-backed hot paths (backlog B-2 / CA-7). Measured against local Postgres 16 on
# localhost; each op includes a real BEGIN/COMMIT and the query round trips, so
# these carry MUCH higher variance than the in-memory benches. Budgets keep extra
# headroom (~10x local) so a slower CI database does not flake the gate while
# still catching an order-of-magnitude regression in the SQL or hashing path:
#   BenchmarkAuditRecord              1678783 ns/op 169 allocs/op
#   BenchmarkSequenceAllocate         1737863 ns/op  67 allocs/op
#
# ── kernel/authz ──────────────────────────────────────────────────────────────
BenchmarkEvaluateDenyByDefault        300    0
BenchmarkEvaluateRBACTenantAllow      600    5
BenchmarkEvaluateABACDenyPolicy      8000   80
BenchmarkCovers                       600    5
# CachingStore fronts the hottest authz read (ActiveAssignments) per (tenant,actor).
BenchmarkCachingStoreHit             1500   15
BenchmarkCachingStoreMiss            2500   20
# ── kernel/policy ─────────────────────────────────────────────────────────────
BenchmarkPolicyMatchesEq             2000   15
BenchmarkPolicyMatchesIn             4000   40
BenchmarkPolicyMatchesGte            1500   12
BenchmarkPolicyMatchesMultiCondition 6000   50
# ── kernel/httpx ──────────────────────────────────────────────────────────────
BenchmarkRouterHandle                6000   50
BenchmarkRouterRoutes                5000   20
BenchmarkRouteMetaValidate           1500   15
# Per-request rate-limit decision + the fixed edge chain (SecureHeaders→CORS→
# BodyLimit→Timeout). TokenBucket.Allow is zero-alloc on the steady-state path.
BenchmarkTokenBucketAllow             300    0
BenchmarkEdgeMiddlewareChain        30000  120
# Full-chain dispatch gate (backlog B5): ServeMux route match -> gateRoute
# (authN/tenant-bind/authZ) -> handler, at increasing route cardinality. Flat
# cost across 50->2000 routes is the data point that keeps ServeMux (see the
# recommendation in docs/implementation/framework-competitive-architecture-
# benchmark.md and the backlog-B5 report) — budgets carry the same ~10x
# headroom as the rest of this file.
BenchmarkDispatch/50routes            6000   24
BenchmarkDispatch/500routes           6500   24
BenchmarkDispatch/2000routes          7000   24
BenchmarkDispatchParallel/50routes    5000   24
BenchmarkDispatchParallel/500routes   5000   24
BenchmarkDispatchParallel/2000routes  5500   24
# Authz gate through the real evaluator, cached (CachingStore hit) vs
# uncached (fake Store, no DB — see bench_test.go LIMITATION comment: this is
# not a real-database uncached measurement).
BenchmarkAuthzGateCachedHit          16000   40
BenchmarkAuthzGateUncachedMiss       16000   35
# DecodeJSON / BindAndValidate hot body path (typical payload, oversized
# rejection, and the full bind+validate path).
BenchmarkDecodeJSONTypical           16000   32
BenchmarkDecodeJSONOversizedRejected  4000   20
BenchmarkBindAndValidateTypical      17000   33
# ── kernel/config ─────────────────────────────────────────────────────────────
# Field reads must be zero-alloc; tight ns/op ceiling proves no map/reflection.
BenchmarkConfigFieldReadMaxBodyBytes   50    0
BenchmarkConfigFieldReadQueryTimeout   50    0
BenchmarkConfigDefaults                50    0
BenchmarkConfigValidate               200    0
# ── kernel/filtering ──────────────────────────────────────────────────────────
BenchmarkFilteringParseAndSQL        3000   30
BenchmarkFilteringParseMulti        11000   80
BenchmarkFilteringSQLOnly            2000   20
BenchmarkSortParseAndSQL             2000   20
BenchmarkKeysetClause                5000   50
# ── kernel/pagination ─────────────────────────────────────────────────────────
BenchmarkCursorEncode                7000   50
BenchmarkCursorDecode               12000   60
BenchmarkCursorDecodeEmpty            100    0
BenchmarkCursorRoundTrip            20000  110
# ── kernel/audit ──────────────────────────────────────────────────────────────
# DB-backed: Writer.Record inside a tenant tx (chain-hash + 3 round trips).
BenchmarkAuditRecord             17000000  700
# ── kernel/sequence ───────────────────────────────────────────────────────────
# DB-backed: gap-free Allocate inside a tenant tx (counter bump + ledger insert).
BenchmarkSequenceAllocate        18000000  300
